Profession,Name,Tool,.,Consumes,Produces,,Prof,Focus,Success%,HQ%,AD used/try,Success cost,AD produced/try,Margin%,Net profit,Commission,Dab Hand?,Unlock,,Base commission,Artisan %,Commission,Commissioncost,Success%,HQ%,AD used,AD produced,AVGsucces%,Fail%,Normal%,HQ%,Dab%,DabHQ%,Recycle%,Recyclex100,Dabx100,DabHQx100,Normalx100,HQx100,,Con1,Con1 #,Con2,Con2 #,Con3,Con3 #,Con4,Con4 #,Con5,Con5 #,PCON1,PCON2,PCON3,PCON4,PCON5,TOTAL CON,T3prod1,#,ProdReg,ProdHQ,ProdHQfallback,Profession,Name,Tool,Unlock,Consumes,Produces,Dab Hand?
Armorsmithing,Mastered Bronzewood Raid Umdwebo,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Umdwebo,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Lakh Varnish,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Raid Umdwebo,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Umdwebo,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Umdwebo,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,3x,Lakh Varnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lakh Varnish,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Ibhendis,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Ibhendis,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Brilliant Bead,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Restoration Ibhendis,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Ibhendis,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Ibhendis,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,3x,Brilliant Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Brilliant Bead,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Isikrinis,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Isikrinis,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Jute Macrame,2,Chultan Silk Thread,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Restoration Isikrinis,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Isikrinis,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Isikrinis,No
Armorsmithing,,,2x,Jute Macrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Jute Macrame,,
Armorsmithing,,,3x,Chultan Silk Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk Thread,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Ward Ibhendis,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Ward Ibhendis,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Brilliant Bead,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Ward Ibhendis,1,0,0,0,Armorsmithing,Mastered Bronzewood Ward Ibhendis,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Ward Ibhendis,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,3x,Brilliant Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Brilliant Bead,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Ward Umdwebo,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Ward Umdwebo,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Lakh Varnish,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Ward Umdwebo,1,0,0,0,Armorsmithing,Mastered Bronzewood Ward Umdwebo,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Ward Umdwebo,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,3x,Lakh Varnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lakh Varnish,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Assault Kanzu,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Assault Kanzu,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Lacquered Dinosaur Leather,2,Lion Fur,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Assault Kanzu,1,0,0,0,Armorsmithing,Mastered Bronzewood Assault Kanzu,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Assault Kanzu,No
Armorsmithing,,,2x,Lacquered Dinosaur Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,2x,Lion Fur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lion Fur,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Eziwa,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Eziwa,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Jute Macrame,2,Feathered Ornament,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Raid Eziwa,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Eziwa,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Eziwa,No
Armorsmithing,,,2x,Jute Macrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Jute Macrame,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Kanzu,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Kanzu,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Lacquered Dinosaur Leather,2,Lion Fur,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Raid Kanzu,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Kanzu,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Kanzu,No
Armorsmithing,,,2x,Lacquered Dinosaur Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,2x,Lion Fur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lion Fur,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Sesifuba,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Sesifuba,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Lacquered Dinosaur Leather,2,Feathered Ornament,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Raid Sesifuba,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Sesifuba,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Sesifuba,No
Armorsmithing,,,2x,Lacquered Dinosaur Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Eziwa,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Eziwa,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Jute Macrame,2,Feathered Ornament,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Restoration Eziwa,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Eziwa,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Eziwa,No
Armorsmithing,,,2x,Jute Macrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Jute Macrame,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Ibhantshi,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Ibhantshi,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Chultan Silk,2,Feathered Ornament,2,Lacquered Dinosaur Leather,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Restoration Ibhantshi,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Ibhantshi,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Ibhantshi,No
Armorsmithing,,,2x,Chultan Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Lacquered Dinosaur Leather,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Ward Ibhantshi,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Ward Ibhantshi,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Chultan Silk,2,Feathered Ornament,2,Lacquered Dinosaur Leather,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Ward Ibhantshi,1,0,0,0,Armorsmithing,Mastered Bronzewood Ward Ibhantshi,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Ward Ibhantshi,No
Armorsmithing,,,2x,Chultan Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Lacquered Dinosaur Leather,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Ward Sesifuba,#N/A,4x,Hardened Bronzewood,1x,Mastered Bronzewood Ward Sesifuba,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,4,Lacquered Dinosaur Leather,2,Feathered Ornament,2,Chultan Silk,1,Lichstone Enamel,1,0,0,0,0,0,0,Mastered Bronzewood Ward Sesifuba,1,0,0,0,Armorsmithing,Mastered Bronzewood Ward Sesifuba,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Ward Sesifuba,No
Armorsmithing,,,2x,Lacquered Dinosaur Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lacquered Dinosaur Leather,,
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,1x,Chultan Silk,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Assault Kofia,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Assault Kofia,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Chultan Silk,2,Brilliant Bead,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Assault Kofia,1,0,0,0,Armorsmithing,Mastered Bronzewood Assault Kofia,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Assault Kofia,No
Armorsmithing,,,2x,Chultan Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,3x,Brilliant Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Brilliant Bead,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Isigcina,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Isigcina,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Jute Macrame,2,Chultan Silk Thread,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Raid Isigcina,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Isigcina,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Isigcina,No
Armorsmithing,,,2x,Jute Macrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Jute Macrame,,
Armorsmithing,,,3x,Chultan Silk Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk Thread,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Isigqoko,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Isigqoko,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Brilliant Bead,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Raid Isigqoko,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Isigqoko,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Isigqoko,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
Armorsmithing,,,3x,Brilliant Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Brilliant Bead,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Raid Kofia,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Raid Kofia,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Chultan Silk,2,Brilliant Bead,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Raid Kofia,1,0,0,0,Armorsmithing,Mastered Bronzewood Raid Kofia,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Raid Kofia,No
Armorsmithing,,,2x,Chultan Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk,,
Armorsmithing,,,3x,Brilliant Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Brilliant Bead,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Isigcina,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Isigcina,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Jute Macrame,2,Chultan Silk Thread,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Restoration Isigcina,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Isigcina,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Isigcina,No
Armorsmithing,,,2x,Jute Macrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Jute Macrame,,
Armorsmithing,,,3x,Chultan Silk Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Chultan Silk Thread,,
Armorsmithing,,,1x,Lichstone Enamel,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Lichstone Enamel,,
Armorsmithing,Mastered Bronzewood Restoration Umqhele,#N/A,2x,Hardened Bronzewood,1x,Mastered Bronzewood Restoration Umqhele,1400,1400,77.00%,9.36%,0,0,No AH value,,,10.0000,No,Chultan Masterwork - Armorsmithing II,,5,100,10,0,0.77,0.09357142857,0,No AH value,77.00%,23.00%,69.80%,7.21%,0.00%,0.00%,6.90%,0,0,0,0,0,,Hardened Bronzewood,2,Feathered Ornament,2,Lakh Varnish,3,Lichstone Enamel,1,,,0,0,0,0,-999,0,Mastered Bronzewood Restoration Umqhele,1,0,0,0,Armorsmithing,Mastered Bronzewood Restoration Umqhele,,Chultan Masterwork - Armorsmithing II,Hardened Bronzewood,Mastered Bronzewood Restoration Umqhele,No
Armorsmithing,,,2x,Feathered Ornament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armorsmithing,,,,Feathered Ornament,,
